File prefix,Document,Country,NSS/WP/DD,ISO Alpha-3 Code,M49 code,Year,Length,segment_count,word_count,Language 1,Language 2,Language 3,Language 4,Language 5,Language 6,Language 7,Language 8,Language 9,Language 10,Language 11,Publishing Ministry,URL Link to Docs,G77 Member,G77_Member_Binary
687,687 Gambia National Security Strategy 2020,Gambia,NSS,GMB,270,2020,66,907,14506,English,,,,,,,,,,,Presidency,,Yes,1
686,686 United States of America National Security Strategy 2025,USA,NSS,USA,840,2025,33,379,9627,English,Chinese (Original),,,,,,,,,,The White House,https://www.whitehouse.gov/wp-content/uploads/2022/10/National-Security-Strategy-2022.pdf,No,0
685,685 Belarus Military Doctrine 2024,Belarus,DD,BLR,112,2024,55,490,15533,English (Translated),Russian (Original),,,,,,,,,,Presidency,,No,0
684,684 Belarus Concept of National Security 2024,Belarus,NSS,BLR,112,2024,47,248,14287,English (Translated),Russian (Original),,,,,,,,,,State Secretariat of the Security Council of the Republic of,,No,0
683,683 Estonia International Security and Estonia 2021,Estonia,TA,EST,233,2021,82,762,19935,English,,,,,,,,,,,unclear,,No,0
682,682 Estonia International Security and Estonia 2016,Estonia,TA,EST,233,2016,48,604,14527,English,,,,,,,,,,,Estonian Information Board,,No,0
681,681 Taiwan National Defense Report 2023,Taiwan,DD,TWN,158,2023,188,1379,52477,English,,,,,,,,,,,Ministry of National Defense,,No,0
680,680 Taiwan National Defense Report 2021,Taiwan,DD,TWN,158,2021,208,1609,56313,English,,,,,,,,,,,Ministry of National Defense,,No,0
679,679 Taiwan National Defense Report 2000,Taiwan,DD,TWN,158,2000,284,2139,57915,English,,,,,,,,,,,Ministry of Defence,,No,0
678,678 Taiwan National Defense Report 1998,Taiwan,DD,TWN,158,1998,268,1444,41759,English,,,,,,,,,,,Ministry of National Defense,,No,0
677,677 Taiwan National Defense Report 1996,Taiwan,DD,TWN,158,1996,320,1992,51399,English,,,,,,,,,,,Ministry of National Defense,,No,0
676,676 Taiwan National Defense Report 1993,Taiwan,DD,TWN,158,1993,297,1109,114692,English (Translated),Chinese (Original),,,,,,,,,,Ministry of National Defense,,No,0
675,675 Taiwan National Defense Report 1992,Taiwan,DD,TWN,158,1992,264,1382,45229,English,,,,,,,,,,,Ministry of National Defense,,No,0
